cell_id,WBP5,ITGA5,LAMC2,VIM,KRT14,KRT17,is_cancer,site,non_cancer_type,compartment,patient,WBP5_detected,ITGA5_detected,LAMC2_detected,VIM_detected,KRT14_detected,KRT17_detected
HNSCC28_P1_F02_S62_comb,0,0,0,1.5281,0,0.73379,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
HNSCC28_P13_F05_S257_comb,0.30334,4.8843,0,8.6373,0,0,0,Lymph node,Fibroblast,Fibroblast,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P2_E03_S51_comb,4.7975,1.6645,0,7.3344,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_H01_S85_comb,0,0,0,9.9411,0.2762,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P2_E02_S50_comb,0,0,0,9.2206,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P13_C02_S218_comb,4.7917,2.079,4.1441,0,11.445,9.4838,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_F04_S256_comb,0,0,3.2259,8.7426,0.17632,0.18523,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P12_E07_S247_comb,2.4407,3.8945,5.7606,0,11.746,9.9598,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_F02_S254_comb,4.7928,2.498,6.3989,0.18015,11.677,9.6682,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P1_B01_S13_comb,6.5132,0,0,8.3214,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_C08_S32_comb,0,0,0.08134,8.5694,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P1_D05_S41_comb,0.85997,0,0,9.759,0.92524,0.30334,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
HNSCC28_P12_B05_S209_comb,0,0,0,8.9917,0,0,0,Lymph node,B cell,B cell,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P2_B12_S24_comb,3.4852,0,0,0,12.226,11.201,1,Primary,0,Cancer cells,28,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
HNSCC28_P2_G04_S76_comb,5.2938,0,0.16736,0,12.533,8.5145,0,Primary,0,0,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_G07_S271_comb,2.5492,0,4.5881,0,11.704,8.4889,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P12_G04_S268_comb,4.5849,0,0,9.6862,0.24123,0,0,Lymph node,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P12_A02_S194_comb,3.3283,2.6998,3.7713,0.2762,11.874,7.813,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P2_E08_S56_comb,0,0,0,8.8906,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P2_G09_S81_comb,0,0,0,9.6831,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P13_D06_S234_comb,0,0.071763,6.9819,0,12.123,11.16,1,Lymph node,0,Cancer cells,28,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P2_C11_S35_comb,5.6099,0,0.12035,9.3911,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P12_B12_S216_comb,0,0,0,7.2999,0,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P13_H12_S288_comb,0,0,0,8.9816,0,0,0,Lymph node,T cell,T cell,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P13_E01_S241_comb,6.0179,6.0938,0,7.1532,0,0,0,Lymph node,Fibroblast,Fibroblast,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_F03_S63_comb,5.8979,0,0,8.6682,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_C09_S33_comb,5.2622,0,0,8.6224,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P12_E08_S248_comb,0,0,3.6681,0,11.368,9.8031,1,Lymph node,0,Cancer cells,28,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_G09_S273_comb,2.6586,2.4785,4.2588,0,11.935,6.1505,1,Lymph node,0,Cancer cells,28,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P2_G06_S78_comb,0.65535,2.5079,0,10.708,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P13_F06_S258_comb,0,0,0,8.7718,1.334,0.60502,0,Lymph node,B cell,B cell,28,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
HNSCC28_P2_B06_S18_comb,0,0,0,7.9254,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P2_H09_S93_comb,4.0028,0,0,0,12.342,5.4885,1,Primary,0,Cancer cells,28,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
HNSCC28_P12_C10_S226_comb,0,0,0.12168,9.5677,0.34142,0,0,Lymph node,Endothelial,Endothelial,28,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
HNSCC28_P1_B12_S24_comb,0,0,0.18396,9.2381,0,0,0,Primary,Endothelial,Endothelial,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P12_C08_S224_comb,0,4.0404,7.6233,0,12.387,10.318,1,Lymph node,0,Cancer cells,28,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_G02_S266_comb,2.4701,0,6.5109,0,12.356,9.908,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
