cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC16_P9_E06_S246_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC17_P2_C03_S27_comb,2.8791,1,Primary,0,Cancer cells,17,TRUE
HNSCC16_P9_H12_S288_comb,4.3695,0,Primary,0,0,16,TRUE
HNSCC_17_P9_C03_S27_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P16_D07_S235_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P9_B04_S16_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC_17_P10_B11_S215_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P13_G04_S364_comb,3.67,1,Primary,0,Cancer cells,18,TRUE
HNSCC16_P2_C02_S26_comb,0,0,Primary,Endothelial,Endothelial,16,FALSE
HNSCC_17_P9_H05_S89_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P2_H07_S91_comb,3.2973,1,Primary,0,Cancer cells,17,TRUE
HNSCC_17_P9_D10_S46_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P15_E06_S54_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P3_H02_S278_comb,3.4906,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P7_C10_S130_comb,0,0,Primary,0,0,18,FALSE
HNSCC18_P7_G04_S172_comb,4.9581,0,Primary,Fibroblast,Fibroblast,18,TRUE
HNSCC18_P13_G08_S368_comb,0,0,Primary,B cell,B cell,18,FALSE
HNSCC_17_P9_C06_S30_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P2_F11_S71_comb,3.4308,1,Primary,0,Cancer cells,17,TRUE
HNSCC_17_P10_G12_S276_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P16_E09_S249_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P10_F11_S263_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P3_H10_S286_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC16_P2_A08_S8_comb,3.9811,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P7_G09_S177_comb,3.9585,0,Primary,Mast,Mast,18,TRUE
HNSCC16_P9_A04_S196_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC17_P7_E02_S146_comb,0,0,Primary,Endothelial,Endothelial,17,FALSE
HNSCC16_P9_F07_S259_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC18_P7_C11_S131_comb,2.4412,0,Primary,Fibroblast,Fibroblast,18,TRUE
HNSCC17_P2_B05_S17_comb,2.8879,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P7_A05_S101_comb,0,0,Primary,Endothelial,Endothelial,17,FALSE
HNSCC18_P15_D01_S37_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P13_F10_S358_comb,0,0,Primary,0,0,18,FALSE
HNSCC17_P7_A10_S106_comb,0,0,Primary,Fibroblast,Fibroblast,17,FALSE
HNSCC17_P3_A04_S196_comb,2.8604,0,Primary,0,0,17,TRUE
HNSCC18_P13_D11_S335_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P2_A03_S3_comb,5.4962,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P15_B10_S22_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P15_A05_S5_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P13_H01_S373_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P2_E05_S53_comb,2.2585,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P13_A02_S290_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P16_D10_S238_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P3_A10_S298_comb,4.3725,0,Primary,0,0,18,TRUE
HNSCC16_P2_F05_S65_comb,0,0,Primary,Endothelial,Endothelial,16,FALSE
HNSCC17_P3_B09_S213_comb,1.8801,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P3_D02_S230_comb,4.676,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P7_C07_S127_comb,0,0,Primary,Fibroblast,Fibroblast,18,FALSE
HNSCC17_P7_A03_S99_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC18_P16_A10_S202_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P10_D12_S240_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_F12_S168_comb,5.9743,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC17_P13_E04_S340_comb,0.3584,0,Primary,B cell,B cell,17,TRUE
HNSCC_17_P9_B07_S19_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P2_D04_S40_comb,0,0,Primary,Endothelial,Endothelial,16,FALSE
HNSCC_17_P9_D03_S39_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P3_G03_S267_comb,1.9123,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P7_H03_S183_comb,4.2225,0,Primary,0,0,18,TRUE
HNSCC17_P7_C05_S125_comb,4.2559,1,Primary,0,Cancer cells,17,TRUE
HNSCC_17_P9_E02_S50_comb,5.7304,0,Primary,T cell,T cell,,TRUE
HNSCC18_P15_D05_S41_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P15_H07_S91_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P9_A06_S198_comb,0,0,Primary,Mast,Mast,16,FALSE
HNSCC17_P7_G06_S174_comb,5.961,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC17_P2_B07_S19_comb,0,1,Primary,0,Cancer cells,17,FALSE
